Asignatura;Identificador;TituloIndice;Enunciado;Opciones;RespuestaCorrecta;Comentario;Anulada;Imagen;Dificultad
VASCULAR;MIR 2006-2007, P62;1. La Isquemia Arterial Crónica;Un hombre de 80 años refiere desde hace nueve meses dolor intermitente en piernas y parestesias que aparecen después de caminar 100-200 metros. Los síntomas comienzan en las zonas distales de las extremidades inferiores, ascienden a los glúteos y se acompañan de dolor lumbar. Los episodios son más frecuentes cuando camina cuesta abajo que cuesta arriba y se alivia al sentarse o ponerse en cuclillas o flexionándose hacia delante mientras sigue caminando. La exploración neurológica es normal. ¿Cuál de los siguientes diagnósticos es el más probable?:;1. Disco torácico herniado. | 2. Estenosis espinal lumbar. | 3. Estenosis de la arteria iliaca. | 4. Miastenia gravis. | 5. Neuropatía periférica desmielinizante;2;--;NO;--;MEDIO
VASCULAR;MIR 2006-2007, P75;1. La Isquemia Arterial Crónica;Está indicado conseguir un objetivo de LDLcolesterol < 100 mg/dl en todas la siguientes situaciones MENOS una:;1. Diabetes Mellitus tipo 2. | 2. Varón de 45 años fumador con antecedentes de muerte súbita en su padre a los 60 años. | 3. Antecedentes personales de coronariopatía. | 4. Estenosis carotidea ateroscleriótica > 50%. | 5. Arteriopatía periférica;2;--;NO;--;MEDIO
VASCULAR;MIR 2008-2009, P252;1. La Isquemia Arterial Crónica;Paciente de 65 años de edad, con antecedentes de diabetes, artrosis, claudicación intermitente gemelar bilateral y ausencia de cardiopatías. Acude a urgencias refiriendo dolor en reposo y frialdad de pie y pierna izquierda de 4 horas de evolución. La exploración muestra en miembro inferior izquierdo, pie pálido y frío y ausencia de pulsos a todos los niveles, en miembro inferior derecho, el pie está caliente con ausencia de pulso poplíteo y distales. El diagnóstico clínico más probable es:;1. Isquemia aguda de miembros inferiores por embolia bilateral. | 2. Artrosis vertebral con estenosis del canal lumbar. | 3. Isquemia aguda de miembro inferior izdo. por embolia iliaca. | 4. Neuropatía diabética de miembros inferiores. | 5. Isquemia aguda de miembro inferior izdo. por trombosis arterial;5;--;NO;--;MEDIO
VASCULAR;MIR 2011-2012, P55;1. La Isquemia Arterial Crónica;Hombre de 64 años que consulta por dolor en la pantorrilla derecha cuando sube cuestas y escaleras y cuando anda en llano durante un tiempo prolongado. Refiere que el dolor se hace tan intenso con el esfuerzo que le obliga a pararse, lo que hace que mejore el dolor en cuestión de minutos. Como antecedentes personales, destaca que el paciente es fumador de 20 cigarrillos al día, diabético en tratamiento con metformina e hipertenso. A la exploración, se objetiva una buena perfusión periférica del pie derecho, pero presenta un pulso pedio disminuído. ¿Qué prueba complementaria, entre las siguientes, debe solicitar inicialmente para el diagnóstico y valoración de la gravedad de la enfermedad de este paciente?;1. Arteriografía de extremidades inferiores. | 2. Índice tobillo-brazo. | 3. Tomografía axial computerizada con reconstrucción vascular de extremidades inferiores. | 4. Prueba de esfuerzo en cinta. | 5. Resonancia magnética;2;--;NO;--;DIFICIL
VASCULAR;MIR 2012-2013, P137;1. La Isquemia Arterial Crónica;Un paciente de 56 años de edad va a ser intervenido por un cáncer de esófago en las próximas cuatro semanas. Entre sus antecedentes personales destaca una cardiopatía isquémica que precisó de la implantación, 11 meses antes, de 4 endoprótesis coronarias (“stents”) recubiertas con fármacos. Por ese motivo se encuentra en tratamiento con doble antiagregación plaquetaria con 100 mg de ácido acetilsalicílico y 75 mg de clopidogrel al día. ¿Qué decisión se debería tomar sobre la antiagregación preoperatoria del paciente?;1. Suspender ambos antiagregantes plaquetarios 7 días antes de la operación, por el riesgo de hemorragia durante la intervención. | 2. Sustituir la doble antiagregación 7 días antes de la intervención, por heparina de bajo peso molecular, a una dosis de 0,5 mg por Kg de peso cada 12 horas, administrando la última dosis 12 horas antes de la intervención quirúrgica. | 3. Suspender el clopidogrel 7 días antes de la operación y mantener el ácido acetil salicílico hasta el día de la intervención, para prevenir la obstrucción de los “stents” coronarios sin aumentar en exceso el riesgo de hemorragia intraoperatoria. | 4. Mantener los dos antiagregantes plaquetarios 7 días antes de la intervención, dado que existe un riesgo muy elevado de obstrucción de los “stents” coronarios. | 5. Suspender el ácido acetil salicílico, mantener el clopidogrel hasta la intervención y complementar con heparina de bajo peso molecular hasta 12 horas antes de la misma;3;--;NO;--;MEDIO
VASCULAR;MIR 2014-2015, P9;1. La Isquemia Arterial Crónica;Pregunta vinculada a la imagen nº5 Hombre de 62 años, fumador de 20 cigarrillos diarios desde hace 30 años e hipertenso, que acude a la consulta por presentar dolor al caminar en zona glútea que comienza a una distancia de 300 metros y que desaparece con el reposo a los 5 minutos. Se realiza un índice Tobillo/Brazo cuya imagen se adjunta. ¿Cuál es el diagnóstico?;1. Isquemia crítica de miembro inferior derecho. | 2. Isquemia aguda por embolismo arterial. | 3. Isquemia crónica por oclusión ilíaca izquierda. | 4. Síndrome de Leriche por oclusión ilíaca bilateral. | 5. Radiculopatía;3;--;NO;imagenes/VASCULAR_ordenadas_por_temas_(hasta_2026)/1._La_Isquemia_Arterial_Cronica/MIR_2014-2015,_P9_p6_1.png;MEDIO
VASCULAR;MIR 2014-2015, P10;1. La Isquemia Arterial Crónica;Pregunta vinculada a la imagen nº5 ¿En este paciente cuál debe ser el tratamiento inicial?;1. Realizar una angiografía diagnóstica más una fibrinolisis asociada. | 2. Modificar los factores de riesgo vascular, ejercicio físico y tratamiento médico. | 3. La cirugía de revascularización mediante bypass o mediante cirugía endovascular. | 4. Realizar una embolectomía urgente. | 5. Tratamiento analgésico y disminuir el ejercicio físico hasta que mejoren los síntomas;2;--;NO;imagenes/VASCULAR_ordenadas_por_temas_(hasta_2026)/1._La_Isquemia_Arterial_Cronica/MIR_2014-2015,_P10_p7_1.png;MEDIO
VASCULAR;MIR 2014-2015, P89;1. La Isquemia Arterial Crónica;En relación con los factores de riesgo de las enfermedades cardiovasculares, ¿cuál de las siguientes afirmaciones NO es correcta?;1. En cuanto al colesterol LDL, el objetivo terapéutico depende del riesgo cardiovascular global. | 2. Los pacientes diabéticos tipo 2 deben considerarse de alto riesgo cardiovascular y el objetivo en cuanto a colesterol LDL debe ser <100 mg/dL. | 3. No hay evidencia suficiente de que niveles bajos de colesterol HDL supongan un factor de riesgo cardiovascular. | 4. Lo importante en el riesgo asociado a hipertensión arterial es que mejora cuando se reduce la presión arterial independientemente del tipo de fármaco utilizado. | 5. La existencia de enfermedad coronaria en la familia es un factor de riesgo para el paciente;3;--;NO;--;FACIL
VASCULAR;MIR 2016-2017, P66;1. La Isquemia Arterial Crónica;El método hemodinámico más importante en el diagnóstico de la isquemia crónica de las extremidades inferiores es:;1. Análisis de las curvas de flujo por velocimetría doppler. | 2. Medición segmentaria de presiones. | 3. Valoración del índice tobillo-brazo o índice de Yao. | 4. Pletismografía a nivel distal de las extremidades;3;--;NO;--;FACIL
VASCULAR;MIR 2018-2019, P2;1. La Isquemia Arterial Crónica;Pregunta vinculada a la imagen nº2. Mujer de 51 años con antecedentes de tabaquismo activo, obesidad y sedentarismo. Refiere desde hace 5 meses molestias en sus pìernas a la deambulación con sensación de pesadez. Desde hace 3 semanas asocia frialdad, dolor muscular y parestesias en la planta de los pies y tobillos que la obliga a detenerse tras recorrer algunos metros. En el estudio se realiza una angioTC abdominal y de MMII (imagen). A raíz d e estos resultados, ¿cuál de las arterias no está afectada?;1. Arteria peronea izquierda. | 2. Arteria tibial anterior izquierda. | 3. Arteria tibial posterior derecha. | 4. Arteria poplítea derecha.;4;--;NO;imagenes/VASCULAR_ordenadas_por_temas_(hasta_2026)/1._La_Isquemia_Arterial_Cronica/MIR_2018-2019,_P2_p8_1.png;MEDIO
