Asignatura;Identificador;TituloIndice;Enunciado;Opciones;RespuestaCorrecta;Comentario;Anulada;Imagen;Dificultad
ANATOMIA;MIR 2024-25, P32;1. Neuroanatomía;En un paciente diagnosticado de una neoplasia maligna de nasofaringe que presenta dolor y edema orbitario, neuropatía de los pares craneales III, IV y VI, y neuropatía de la rama V1 del V par craneal, indique qué estructura es más probable que se encuentre infiltrada:;1. Seno cavernoso. | 2. Hipófisis. | 3. Agujero yugular. | 4. Fosa pterigopalatina.;1;--;NO;--;FACIL
ANATOMIA;MIR 2024-25, P80;1. Neuroanatomía;Con respecto a la parálisis facial, ¿cuál de los siguientes signos y síntomas nos haría pensar en un origen central?;1. La presencia de ageusia asociada a la parálisis facial. | 2. La presencia de hipoestesia o dolor en la región del pabellón auricular del mismo lado que la parálisis. | 3. Si la debilidad de los músculos faciales sólo afecta a la mitad inferior de la hemicara afectada sin afectación de los músculos palpebrales ni de la frente. | 4. Si hay disminución de la secreción lacrimal en el ojo correspondiente al lado de la parálisis facial.;3;--;NO;--;FACIL
ANATOMIA;MIR 2023-24, P60;1. Neuroanatomía;El defecto campimétrico asociado a una lesión en la cintilla óptica derecha es:;1. Hemianopsia homónima izquierda. | 2. Hemianopsia heterónima bitemporal. | 3. Cuadrantanopsia homónima izquierda. | 4. Cuadrantanopsia homónima derecha.;1;--;NO;--;FACIL
ANATOMIA;MIR 2021-22, P15;1. Neuroanatomía;Pregunta asociada a la imagen 15. En un paciente anticoagulado y antiagregado que presenta lenguaje incoherente sin otras manifestaciones clínicas asociadas, con una imagen en la TC craneal como la que se muestra, ¿cuál es el diagnóstico más probable?:;1. Hemorragia subaracnoidea. | 2. Hematoma intraparenquimatoso. | 3. Hematoma epidural. | 4. Hematoma subdural.;4;--;NO;imagenes/ANATOMIA_ordenadas_por_temas_(hasta_2025)/1._Neuroanatomia/MIR_2021-22,_P15_p5_1.png;FACIL
ANATOMIA;MIR 2017-18, P32;1. Neuroanatomía;Pregunta vinculada a la imagen nº 32 ¿Cuál de las siguientes estructuras corresponde a la arteria vertebral?;1. 1 | 2. 2 | 3. 3 | 4. 4;3;--;NO;imagenes/ANATOMIA_ordenadas_por_temas_(hasta_2025)/1._Neuroanatomia/MIR_2017-18,_P32_p5_1.png;FACIL
ANATOMIA;MIR 2017-18, P37;1. Neuroanatomía;¿Cuál de las siguientes arterias NO es rama de la arteria carótida externa?;1. Arteria lingual. | 2. Arteria facial. | 3. Arteria oftálmica. | 4. Arteria temporal superficial.;3;--;NO;--;FACIL
ANATOMIA;MIR 2016-17, P2;1. Neuroanatomía;Pregunta vinculada a la imagen nº 2 ¿Dónde se localiza la arteria basilar?;1. 1 | 2. 2 | 3. 3 | 4. 4;2;--;NO;imagenes/ANATOMIA_ordenadas_por_temas_(hasta_2025)/1._Neuroanatomia/MIR_2016-17,_P2_p6_1.png;FACIL
ANATOMIA;MIR 2015-16, P2;1. Neuroanatomía;Pregunta vinculada a la imagen nº2 ¿Con cuál de las estructuras señaladas en la imagen contacta directamente el acueducto de Silvio?;1. 1 | 2. 2 | 3. 3 | 4. 4;2;--;NO;imagenes/ANATOMIA_ordenadas_por_temas_(hasta_2025)/1._Neuroanatomia/MIR_2015-16,_P2_p6_1.png | imagenes/ANATOMIA_ordenadas_por_temas_(hasta_2025)/1._Neuroanatomia/MIR_2015-16,_P2_p6_2.png;FACIL
ANATOMIA;MIR 2015-16, P24;1. Neuroanatomía;Pregunta vinculada a la imagen nº 24 Tomografía Computarizada cerebral realizada con carácter de urgencia ante traumatismo craneoencefálico. ¿Cuál es su diagnóstico?:;1. Hematoma subdural agudo. | 2. Hematoma epidural. | 3. Lesión cortical (contusión cerebral). | 4. Hemorragia intraventricular.;1;--;NO;imagenes/ANATOMIA_ordenadas_por_temas_(hasta_2025)/1._Neuroanatomia/MIR_2015-16,_P24_p7_1.png;FACIL
ANATOMIA;MIR 2014-15, P202;1. Neuroanatomía;¿Cuál de los siguientes pares craneales tiene el recorrido de mayor longitud a través de un conducto óseo?;1. El trigémino | 2. El patético o troclear | 3. El óptico | 4. El facial | 5. El olfatorio;4;--;NO;--;FACIL
